Instância,Sol. Méd.,T_med(s),$\Delta_{Med} (\%)$,Sol. Mel.,T_mel(s),$\Delta_{Me} (\%)$
bayg29\_10,"2025.7","0.0583122","18.337","1916.4","0.0625","11.95"
bayg29\_25,"2060.4","0.0919371","15.094000000000003","1975.9","0.0921875","10.335999999999999"
bayg29\_50,"2312.4","0.1612184","10.752999999999998","2220.5","0.1671875","6.307"
burma14\_10,"3911.9","0.0135465","15.610000000000003","3540.1","0.0140625","4.587999999999999"
burma14\_25,"4011.3","0.0149683","11.765","3737.2","0.021875","3.957"
burma14\_50,"4245.4","0.019952699999999997","10.355","3932.5","0.0328125","1.924"
fri26\_10,"1069.1","0.0457809","10.894000000000002","1033.0","0.046875","7.155000000000001"
fri26\_25,"1228.9","0.0638278","11.354000000000001","1180.4","0.0625","7.034000000000001"
fri26\_50,"1282.1","0.0856247","8.69","1233.3","0.08125","4.597"
gr17\_10,"2334.5","0.019812100000000003","8.650000000000002","2225.2","0.015625","3.562"
gr17\_25,"2532.0","0.027671499999999998","13.344999999999999","2370.5","0.034375","6.102"
gr17\_50,"2986.0","0.0382653","10.501000000000001","2777.6","0.046875","2.6479999999999997"
gr21\_10,"3248.2","0.04407770000000001","14.75","3095.9","0.040625","9.324"
gr21\_25,"3445.2","0.05620270000000001","16.75","3244.0","0.0578125","9.913"
gr21\_50,"4120.9","0.0807963","10.403","3969.4","0.0859375","6.2540000000000004"
ulysses16\_10,"7953.3","0.0200153","15.801000000000002","7181.9","0.021875","4.569000000000001"
ulysses16\_25,"8562.8","0.0207184","19.611","7544.4","0.0234375","5.271"
ulysses16\_50,"8777.0","0.0439686","15.999","7843.8","0.0390625","3.4480000000000004"
ulysses22\_10,"8611.1","0.0425309","21.492","7918.0","0.0484375","11.702000000000002"
ulysses22\_25,"9335.5","0.06339039999999999","24.607999999999997","8515.8","0.065625","13.616"
ulysses22\_50,"9766.2","0.062218499999999996","16.488","9066.2","0.0625","7.927000000000001"
gr48\_10,"6247.3","0.5219526999999999","18.192","6063.3","0.55","14.720999999999998"
gr48\_25,"6781.1","0.6300465000000001","16.905","6601.6","0.6734375","13.812999999999999"
gr48\_50,"7762.1","1.1322495","16.916999999999998","7543.1","1.2109375","13.639000000000001"
