Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,1665,111,1615,3.42,0.31,0.09578099999999999,0.109375
25,1843,104,1706,11.43,3.14,0.105,0.078125
10,1895,73,1806,8.1,3.02,0.076718,0.125
15,1892,104,1709,16.65,5.36,0.043125,0.046875
10,1800,117,1660,9.42,0.91,0.044687,0.09375
20,1807,115,1676,11.41,3.33,0.05171799999999999,0.046875
5,2006,101,1858,9.44,1.36,0.037812,0.09375
10,2289,127,2177,8.28,2.98,0.043593,0.03125
15,1796,106,1628,10.32,0.0,0.047187,0.0625
10,1868,109,1733,12.87,4.71,0.049531,0.046875
