Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
50,4421,13,4412,0.2,0.0,0.01375,0.015625
40,3792,50,3748,1.17,0.0,0.014062,0.015625
50,3893,38,3870,0.59,0.0,0.016562,0.015625
20,3376,72,3323,1.59,0.0,0.011718000000000001,0.015625
40,3651,52,3524,3.6,0.0,0.011093,0.015625
35,3856,34,3846,0.26,0.0,0.007812,0.0
40,3598,91,3408,5.58,0.0,0.012968,0.015625
50,3615,47,3506,3.11,0.0,0.030781,0.03125
50,4640,68,4519,2.68,0.0,0.021875,0.03125
40,4542,5,4467,1.68,0.0,0.007031,0.015625
