Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,1147,79,1111,8.72,5.31,0.037656,0.046875
25,1251,81,1225,4.16,2.0,0.038593,0.046875
5,1236,73,1139,8.52,0.0,0.040781,0.0625
15,1311,115,1283,6.33,4.06,0.037968,0.03125
20,1120,56,1084,10.13,6.59,0.042343,0.046875
5,1209,51,1172,3.16,0.0,0.029062,0.03125
10,1146,77,1134,4.09,3.0,0.030781,0.046875
20,1082,41,970,13.3,1.57,0.040312,0.09375
5,1140,23,1103,5.46,2.04,0.027343,0.0625
25,1144,59,1130,4.67,3.39,0.033437,0.03125
