Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
45,3285,37,3157,5.46,1.35,0.063125,0.078125
10,4196,41,4041,3.84,0.0,0.018593000000000002,0.015625
45,4204,73,3892,8.02,0.0,0.041406,0.09375
10,3812,74,3617,6.78,1.32,0.021718,0.03125
40,4365,53,4357,5.64,5.45,0.032968,0.0625
10,3521,51,3512,3.04,2.78,0.022031,0.015625
35,4445,36,4257,4.61,0.19,0.022968000000000002,0.03125
5,3643,49,3345,10.53,1.49,0.021875,0.015625
50,4287,32,4186,2.41,0.0,0.031718,0.03125
5,3713,24,3663,6.6,5.17,0.017031,0.015625
