Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
45,8852,114,8456,6.78,2.0,0.068125,0.078125
50,8162,90,7750,8.28,2.81,0.08,0.15625
35,9252,45,8840,4.74,0.08,0.031406,0.046875
25,9375,36,9356,0.55,0.34,0.02625,0.03125
35,9096,109,8523,9.8,2.89,0.046093,0.03125
30,8033,123,7835,6.12,3.5,0.067031,0.078125
15,8704,126,7897,10.22,0.0,0.039218,0.03125
35,9823,33,9634,2.77,0.8,0.028437,0.03125
40,9319,57,9021,3.3,0.0,0.046406,0.078125
10,8211,157,7995,3.4,0.68,0.036718,0.0625
