Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1890,   8, 1810,10.01, 5.36,0.030468,0.015625
  5, 1838, 110, 1756, 6.98, 2.21,0.050156,0.078125
 10, 1848,  99, 1756, 7.57, 2.21,0.053750,0.046875
 15, 1847, 107, 1756, 7.51, 2.21,0.060937,0.062500
 20, 1844, 101, 1756, 7.33, 2.21,0.063593,0.046875
 25, 1872,  87, 1756, 8.96, 2.21,0.066875,0.078125
 30, 1861,  96, 1756, 8.32, 2.21,0.072500,0.093750
 35, 1872,  92, 1756, 8.96, 2.21,0.077656,0.078125
 40, 1867,  83, 1763, 8.67, 2.62,0.078593,0.125000
 45, 1862,  94, 1763, 8.38, 2.62,0.088906,0.156250
 50, 1884,  98, 1763, 9.66, 2.62,0.095156,0.109375
