Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4475,   1, 4425, 1.43, 0.29,0.004843,0.000000
  5, 4432,   8, 4412, 0.45, 0.00,0.004062,0.015625
 10, 4429,   5, 4412, 0.39, 0.00,0.004531,0.000000
 15, 4423,  10, 4412, 0.25, 0.00,0.005468,0.000000
 20, 4423,  11, 4412, 0.25, 0.00,0.005781,0.000000
 25, 4423,   9, 4412, 0.25, 0.00,0.007500,0.015625
 30, 4423,   9, 4412, 0.25, 0.00,0.011875,0.015625
 35, 4421,  11, 4412, 0.20, 0.00,0.010156,0.015625
 40, 4422,  12, 4412, 0.23, 0.00,0.012500,0.015625
 45, 4422,  13, 4412, 0.23, 0.00,0.013437,0.015625
 50, 4421,  13, 4412, 0.20, 0.00,0.013750,0.015625
