Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1156,   5, 1140, 5.76, 4.30,0.016562,0.015625
  5, 1150,  48, 1134, 5.22, 3.75,0.022656,0.031250
 10, 1148,  55, 1104, 5.03, 1.01,0.025312,0.046875
 15, 1147,  54, 1130, 4.94, 3.39,0.028593,0.031250
 20, 1146,  53, 1139, 4.85, 4.21,0.029218,0.031250
 25, 1144,  59, 1130, 4.67, 3.39,0.033437,0.031250
 30, 1148,  51, 1139, 5.03, 4.21,0.034843,0.046875
 35, 1146,  58, 1139, 4.85, 4.21,0.037187,0.031250
 40, 1147,  61, 1130, 4.94, 3.39,0.039531,0.031250
 45, 1150,  56, 1139, 5.22, 4.21,0.042343,0.062500
 50, 1150,  64, 1139, 5.22, 4.21,0.049687,0.031250
