Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4386,   2, 4372, 6.15, 5.81,0.011718,0.015625
  5, 4374,  31, 4360, 5.86, 5.52,0.016406,0.031250
 10, 4369,  47, 4357, 5.74, 5.45,0.019687,0.046875
 15, 4368,  53, 4359, 5.71, 5.49,0.021406,0.031250
 20, 4367,  56, 4357, 5.69, 5.45,0.026250,0.031250
 25, 4366,  59, 4357, 5.66, 5.45,0.026093,0.031250
 30, 4367,  56, 4360, 5.69, 5.52,0.029218,0.031250
 35, 4366,  57, 4325, 5.66, 4.67,0.030468,0.031250
 40, 4365,  53, 4357, 5.64, 5.45,0.032968,0.062500
 45, 4366,  56, 4278, 5.66, 3.53,0.037500,0.031250
 50, 4367,  57, 4357, 5.69, 5.45,0.041562,0.046875
