Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 9650,   3, 9492, 6.97, 5.22,0.014843,0.015625
  5, 9360,  74, 9035, 3.76, 0.16,0.024218,0.046875
 10, 9349,  57, 9035, 3.64, 0.16,0.024218,0.046875
 15, 9335,  53, 9035, 3.48, 0.16,0.029375,0.031250
 20, 9343,  53, 9021, 3.57, 0.00,0.030625,0.046875
 25, 9352,  47, 9021, 3.67, 0.00,0.033125,0.046875
 30, 9332,  56, 9021, 3.45, 0.00,0.038750,0.062500
 35, 9323,  54, 9021, 3.35, 0.00,0.041250,0.078125
 40, 9319,  57, 9021, 3.30, 0.00,0.046406,0.078125
 45, 9345,  51, 9021, 3.59, 0.00,0.047968,0.046875
 50, 9341,  53, 9021, 3.55, 0.00,0.051093,0.109375
