Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
25,1809,0,1701,12.36,5.65,0.07125,0.078125
15,1984,0,1886,19.95,14.03,0.056875,0.0625
45,1988,0,1890,13.41,7.82,0.065468,0.078125
45,2037,0,1949,25.59,20.16,0.054375,0.0625
10,1973,0,1870,19.94,13.68,0.05625,0.0625
35,1960,0,1800,20.84,10.97,0.063593,0.0625
45,2114,0,1950,15.33,6.38,0.045156,0.046875
5,2457,0,2341,16.23,10.74,0.038437,0.03125
15,1952,0,1854,19.9,13.88,0.057968,0.0625
25,1983,0,1923,19.82,16.19,0.07375,0.078125
