Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
45,4342,0,4159,7.58,3.05,0.014062,0.015625
50,3854,0,3672,11.23,5.97,0.015937,0.015625
50,3868,6,3444,15.95,3.24,0.014843,0.03125
50,3817,0,3696,3.27,0.0,0.015937,0.015625
50,3905,2,3549,16.71,6.07,0.014375,0.03125
45,4072,1,3748,12.8,3.82,0.014531,0.015625
50,3921,3,3530,17.18,5.5,0.019687,0.03125
10,3860,1,3506,14.51,4.0,0.014687,0.03125
20,4294,1,4043,12.0,5.45,0.016718,0.015625
5,4180,2,4025,6.42,2.47,0.008906,0.015625
