Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,3417,0,3228,22.56,15.78,0.05125,0.0625
0,3384,0,3305,14.87,12.19,0.072187,0.0625
40,3273,0,3250,5.28,4.54,0.067031,0.078125
40,3480,0,3238,28.56,19.62,0.062031,0.0625
45,3439,0,3347,8.86,5.95,0.047187,0.046875
40,3566,0,3213,12.88,1.71,0.042343,0.046875
15,3465,1,3046,18.62,4.28,0.04375,0.0625
15,3794,0,3549,10.9,3.74,0.051718,0.046875
15,3476,0,3235,28.31,19.42,0.062968,0.046875
40,3158,0,3029,16.66,11.9,0.061562,0.0625
