Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
40,8270,0,7601,17.92,8.38,0.035312,0.046875
5,8594,1,7954,22.54,13.42,0.040937,0.03125
50,8278,0,7510,18.04,7.09,0.044687,0.046875
30,8516,0,7838,21.43,11.76,0.036718,0.046875
15,8816,0,8155,25.71,16.28,0.04625,0.046875
10,8613,0,8214,18.8,13.3,0.049375,0.0625
20,9196,1,8295,26.91,14.48,0.040937,0.03125
20,8617,0,8038,20.0,11.93,0.04,0.046875
20,8908,1,7642,26.41,8.44,0.042812,0.046875
5,8303,2,7933,17.16,11.94,0.048281,0.078125
