Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1974,   0, 1930,19.27,16.62,0.075781,0.062500
  5, 1985,   0, 1930,19.94,16.62,0.074375,0.093750
 10, 1977,   0, 1930,19.46,16.62,0.073906,0.078125
 15, 1982,   0, 1930,19.76,16.62,0.073437,0.078125
 20, 1984,   0, 1930,19.88,16.62,0.073125,0.062500
 25, 1983,   0, 1923,19.82,16.19,0.073750,0.078125
 30, 1977,   0, 1930,19.46,16.62,0.072968,0.062500
 35, 1978,   0, 1930,19.52,16.62,0.073906,0.078125
 40, 1980,   0, 1930,19.64,16.62,0.074531,0.062500
 45, 1974,   0, 1930,19.27,16.62,0.074687,0.078125
 50, 1983,   0, 1930,19.82,16.62,0.073906,0.062500
