Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4373,   0, 4315,13.00,11.50,0.007656,0.000000
  5, 4326,  20, 4092,11.78, 5.74,0.010000,0.000000
 10, 4295,  20, 4010,10.98, 3.62,0.011406,0.031250
 15, 4299,  20, 4013,11.09, 3.70,0.017656,0.031250
 20, 4298,  22, 4003,11.06, 3.44,0.019687,0.031250
 25, 4281,  16, 3977,10.62, 2.76,0.018906,0.031250
 30, 4273,  24, 3936,10.41, 1.71,0.020156,0.046875
 35, 4282,  13, 3977,10.65, 2.76,0.019687,0.015625
 40, 4280,  20, 4042,10.59, 4.44,0.022187,0.031250
 45, 4272,  20, 4062,10.39, 4.96,0.020781,0.015625
 50, 4277,  20, 4046,10.52, 4.55,0.023281,0.046875
