Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1181,   0, 1145, 8.05, 4.76,0.046406,0.031250
  5, 1183,   0, 1144, 8.23, 4.67,0.049375,0.046875
 10, 1184,   0, 1145, 8.33, 4.76,0.050312,0.046875
 15, 1174,   0, 1145, 7.41, 4.76,0.051093,0.046875
 20, 1179,   0, 1144, 7.87, 4.67,0.050937,0.046875
 25, 1183,   0, 1134, 8.23, 3.75,0.052031,0.046875
 30, 1181,   0, 1145, 8.05, 4.76,0.052656,0.046875
 35, 1178,   0, 1145, 7.78, 4.76,0.051875,0.046875
 40, 1181,   0, 1145, 8.05, 4.76,0.052031,0.046875
 45, 1180,   0, 1145, 7.96, 4.76,0.055937,0.062500
 50, 1183,   0, 1145, 8.23, 4.76,0.052656,0.062500
