Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 2418,   0, 2358, 6.75, 4.11,0.016875,0.015625
  5, 2410,   2, 2342, 6.40, 3.40,0.022187,0.015625
 10, 2412,   1, 2329, 6.49, 2.83,0.029687,0.046875
 15, 2405,   0, 2329, 6.18, 2.83,0.026875,0.031250
 20, 2416,   0, 2329, 6.67, 2.83,0.030000,0.031250
 25, 2428,   0, 2342, 7.20, 3.40,0.029375,0.031250
 30, 2427,   0, 2358, 7.15, 4.11,0.029687,0.015625
 35, 2415,   0, 2358, 6.62, 4.11,0.027812,0.031250
 40, 2429,   0, 2342, 7.24, 3.40,0.030468,0.031250
 45, 2421,   0, 2278, 6.89, 0.57,0.027500,0.046875
 50, 2422,   0, 2358, 6.93, 4.11,0.031718,0.031250
