Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 8245,   0, 8002,20.21,16.66,0.014687,0.000000
  5, 8242,   3, 7348,20.16, 7.13,0.017031,0.031250
 10, 8200,   3, 7288,19.55, 6.25,0.026093,0.031250
 15, 8189,   2, 7191,19.39, 4.84,0.026093,0.031250
 20, 8228,   4, 7201,19.96, 4.99,0.026875,0.015625
 25, 8200,   1, 7532,19.55, 9.81,0.025937,0.031250
 30, 8205,   2, 7288,19.62, 6.25,0.025156,0.015625
 35, 8206,   1, 7201,19.64, 4.99,0.026718,0.031250
 40, 8193,   1, 7201,19.45, 4.99,0.027031,0.015625
 45, 8202,   1, 7288,19.58, 6.25,0.027343,0.031250
 50, 8231,   2, 7288,20.00, 6.25,0.027656,0.031250
