Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
5,1629,58,1610,1.18,0.0,0.9803120000000001,1.390625
15,1763,78,1654,6.59,0.0,1.062187,2.484375
15,1831,124,1753,4.45,0.0,1.3603120000000002,2.5
15,1790,131,1622,10.36,0.0,1.3871870000000002,2.65625
5,1709,126,1645,3.89,0.0,1.3995309999999999,2.21875
10,1720,109,1622,6.04,0.0,1.338125,1.890625
10,1876,118,1833,2.35,0.0,1.247187,1.546875
10,2148,175,2114,1.61,0.0,0.721093,0.890625
10,1688,104,1628,3.69,0.0,0.584375,0.578125
5,1764,135,1667,6.59,0.73,0.7365619999999999,1.015625
