Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
5,5513,130,5190,9.25,2.85,4.969531,7.296875
10,6082,91,5641,9.74,1.79,4.025,11.71875
10,5745,128,5399,8.4,1.87,4.907343,7.828125
5,5576,105,5364,5.35,1.34,4.487655999999999,9.359375
10,6247,113,5807,10.0,2.25,4.577187,9.21875
5,5893,87,5645,5.04,0.62,3.844375,9.953125
15,5690,106,5185,12.38,2.41,9.857656,23.953125
20,5532,129,5171,8.41,1.33,5.1590620000000005,12.625
5,5594,85,5367,8.56,4.15,4.274843,12.890625
10,5697,84,5281,12.7,4.47,4.381718,10.90625
