Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,2035,9,2009,11,10.54,9.13,0.679062
5,2024,28,1983,4,9.94,7.71,0.765625
10,2007,65,1908,1,9.02,3.64,0.999843
15,1993,87,1908,2,8.26,3.64,1.175937
20,1983,96,1905,1,7.71,3.48,1.203906
25,1965,136,1859,1,6.74,0.98,1.441875
30,1965,144,1859,2,6.74,0.98,1.486406
35,1988,126,1859,2,7.98,0.98,1.44125
40,2022,66,1907,1,9.83,3.59,1.038125
45,2053,24,1976,1,11.52,7.33,0.789531
50,2056,10,1998,1,11.68,8.53,0.696562
55,2065,2,2034,20,12.17,10.48,0.673906
60,2064,1,2028,1,12.11,10.16,0.637968
65,2068,0,2034,15,12.33,10.48,0.68
70,2064,0,2034,24,12.11,10.48,0.687031
75,2067,0,2034,19,12.28,10.48,0.70375
80,2074,0,2034,14,12.66,10.48,0.681718
85,2072,0,2034,16,12.55,10.48,0.665312
90,2073,0,2034,15,12.6,10.48,0.661562
95,2075,0,2034,13,12.71,10.48,0.6625
100,2076,0,2034,17,12.76,10.48,0.654843
