Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,3478,7,3478,100,3.17,3.17,0.022656
5,3464,13,3371,10,2.76,0.0,0.022812
10,3453,22,3371,21,2.43,0.0,0.024531
15,3433,35,3371,38,1.84,0.0,0.027812
20,3411,55,3371,59,1.19,0.0,0.032656
25,3402,62,3371,69,0.92,0.0,0.033281
30,3389,69,3371,81,0.53,0.0,0.035937
35,3390,73,3371,76,0.56,0.0,0.037187
40,3410,64,3371,55,1.16,0.0,0.035156
45,3407,85,3371,54,1.07,0.0,0.039062
50,3440,76,3371,30,2.05,0.0,0.038437
55,3464,70,3371,12,2.76,0.0,0.037031
60,3493,66,3371,5,3.62,0.0,0.036875
65,3538,52,3371,1,4.95,0.0,0.032968
70,3542,53,3371,2,5.07,0.0,0.033906
75,3576,40,3394,2,6.08,0.68,0.031562
80,3604,32,3394,1,6.91,0.68,0.02875
85,3620,28,3417,1,7.39,1.36,0.02875
90,3633,33,3394,1,7.77,0.68,0.029218
95,3632,25,3478,4,7.74,3.17,0.028437
100,3652,23,3394,1,8.34,0.68,0.027343
