Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,956,4,955,87,2.03,1.92,0.215937
5,956,6,955,92,2.03,1.92,0.217031
10,955,9,937,2,1.92,0.0,0.223281
15,955,10,937,1,1.92,0.0,0.227656
20,955,16,937,1,1.92,0.0,0.240468
25,955,18,937,3,1.92,0.0,0.24625
30,954,31,937,7,1.81,0.0,0.271875
35,957,20,944,1,2.13,0.75,0.251406
40,960,16,953,1,2.45,1.71,0.245625
45,963,6,955,35,2.77,1.92,0.226562
50,967,3,955,19,3.2,1.92,0.222968
55,965,1,955,26,2.99,1.92,0.217031
60,966,0,955,12,3.09,1.92,0.236093
65,968,0,955,16,3.31,1.92,0.218593
70,969,0,955,11,3.42,1.92,0.215312
75,967,0,955,16,3.2,1.92,0.215312
80,972,0,955,9,3.74,1.92,0.216875
85,970,0,955,13,3.52,1.92,0.215
90,972,0,941,1,3.74,0.43,0.216406
95,974,0,955,17,3.95,1.92,0.217031
100,973,0,955,12,3.84,1.92,0.235
