Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,2165,22,2103,24,3.69,0.72,0.049375
5,2146,46,2103,38,2.78,0.72,0.058593
10,2133,64,2103,50,2.16,0.72,0.065781
15,2117,81,2088,8,1.39,0.0,0.073281
20,2117,87,2088,6,1.39,0.0,0.076718
25,2109,104,2088,20,1.01,0.0,0.084687
30,2109,108,2088,21,1.01,0.0,0.086406
35,2112,127,2088,30,1.15,0.0,0.095625
40,2118,139,2088,18,1.44,0.0,0.101406
45,2133,134,2088,13,2.16,0.0,0.100468
50,2164,101,2088,3,3.64,0.0,0.086718
55,2190,80,2088,1,4.89,0.0,0.078125
60,2215,53,2088,1,6.08,0.0,0.066718
65,2233,32,2130,1,6.94,2.01,0.058281
70,2238,33,2100,1,7.18,0.57,0.05875
75,2252,11,2165,1,7.85,3.69,0.049531
80,2255,12,2146,1,8.0,2.78,0.049843
85,2262,5,2182,1,8.33,4.5,0.0475
90,2263,5,2182,3,8.38,4.5,0.047343
95,2265,2,2182,2,8.48,4.5,0.046406
100,2278,4,2182,2,9.1,4.5,0.047031
