Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,7421,19,7360,13,2.42,1.57,0.118906
5,7395,49,7295,1,2.06,0.68,0.148437
10,7365,67,7284,2,1.64,0.52,0.172812
15,7355,79,7246,1,1.5,0.0,0.177343
20,7348,94,7246,5,1.41,0.0,0.191562
25,7341,119,7246,2,1.31,0.0,0.217187
30,7344,130,7246,4,1.35,0.0,0.230156
35,7367,118,7246,1,1.67,0.0,0.218281
40,7416,113,7296,3,2.35,0.69,0.21625
45,7544,91,7292,1,4.11,0.63,0.195312
50,7693,74,7398,1,6.17,2.1,0.179375
55,7878,59,7473,1,8.72,3.13,0.18125
60,7950,45,7450,1,9.72,2.82,0.150468
65,8102,23,7504,1,11.81,3.56,0.13
70,8155,14,7459,1,12.54,2.94,0.11875
75,8238,9,7815,1,13.69,7.85,0.115625
80,8293,10,7657,1,14.45,5.67,0.115
85,8355,5,7913,1,15.3,9.21,0.110625
90,8353,2,7890,1,15.28,8.89,0.107968
95,8390,3,7830,1,15.79,8.06,0.109531
100,8429,0,7940,1,16.33,9.58,0.105937
