Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
10,2046,42,2027,0.94,0.0,0.383281,0.359375
10,1707,132,1655,3.14,0.0,0.679218,0.890625
15,1868,140,1827,2.24,0.0,0.657812,0.78125
15,1912,118,1799,6.28,0.0,0.667812,0.90625
5,1786,157,1709,4.51,0.0,0.7904680000000001,1.140625
10,1882,170,1841,2.23,0.0,0.73,0.90625
15,1935,87,1805,7.2,0.0,0.525,0.78125
10,1778,116,1718,3.49,0.0,0.6501560000000001,0.796875
10,1725,175,1683,2.5,0.0,0.754375,0.78125
5,1868,69,1862,0.32,0.0,0.44125,0.484375
