Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
10,1100,67,1060,4.27,0.47,0.342031,0.28125
10,1214,67,1201,1.08,0.0,0.318125,0.328125
10,1151,98,1139,1.05,0.0,0.357187,0.328125
10,1280,80,1233,3.81,0.0,0.327031,0.671875
10,1069,115,1017,5.11,0.0,0.438906,0.46875
10,1199,74,1172,2.3,0.0,0.322656,0.21875
15,1110,94,1101,0.82,0.0,0.349531,0.421875
10,959,112,955,0.42,0.0,0.43234300000000003,0.359375
25,1119,62,1081,3.52,0.0,0.298281,0.296875
15,1129,58,1093,3.29,0.0,0.290468,0.578125
