Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
35,2851,65,2743,3.94,0.0,0.064062,0.09375
15,2229,31,2216,0.59,0.0,0.049375,0.046875
35,3000,17,3000,0.0,0.0,0.037031,0.046875
40,2946,51,2946,0.0,0.0,0.047343,0.03125
30,2208,66,2205,0.14,0.0,0.07171799999999999,0.0625
25,2608,38,2579,1.12,0.0,0.044843,0.046875
40,2816,59,2812,0.14,0.0,0.049531,0.046875
40,3014,3,3014,0.0,0.0,0.030312000000000002,0.03125
40,3454,57,3454,0.0,0.0,0.046562,0.046875
15,2134,18,2134,0.0,0.0,0.043281,0.046875
