Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,6900,79,6890,0.15,0.0,0.05875,0.0625
20,6883,62,6859,0.35,0.0,0.042968,0.0625
25,6865,86,6859,0.09,0.0,0.053592999999999995,0.046875
25,7436,53,7401,0.47,0.0,0.046875,0.046875
20,7672,40,7671,0.01,0.0,0.040468000000000004,0.03125
40,7029,23,7029,0.0,0.0,0.036718,0.03125
25,7450,65,7446,0.05,0.0,0.048593,0.046875
25,6902,92,6859,0.63,0.0,0.061717999999999995,0.046875
15,6862,25,6859,0.04,0.0,0.035156,0.03125
10,7922,40,7781,1.81,0.0,0.041562,0.09375
